,Iteration,Network Fitness
0,1,12
1,2,12
2,3,15
3,4,15
4,5,15
5,6,15
6,7,15
7,8,15
8,9,19
9,10,19
10,11,19
11,12,19
12,13,19
13,14,19
14,15,22
15,16,22
16,17,22
17,18,22
18,19,23
19,20,23
20,21,23
21,22,23
22,23,23
23,24,23
24,25,23
25,26,23
26,27,23
27,28,23
28,29,23
29,30,23
30,31,23
31,32,23
32,33,23
33,34,23
34,35,23
35,36,23
36,37,23
37,38,23
38,39,23
39,40,23
40,41,23
41,42,23
42,43,23
43,44,23
44,45,23
45,46,23
46,47,23
47,48,23
48,49,23
49,50,23
50,51,23
51,52,23
52,53,23
53,54,23
54,55,23
55,56,23
56,57,23
57,58,23
58,59,23
59,60,23
60,61,23
61,62,23
62,63,23
63,64,23
64,65,23
65,66,23
66,67,23
67,68,23
68,69,23
69,70,23
70,71,23
71,72,23
72,73,23
73,74,23
74,75,23
75,76,23
76,77,23
77,78,23
78,79,23
79,80,23
80,81,23
81,82,23
82,83,23
83,84,23
84,85,23
85,86,23
86,87,23
87,88,23
88,89,23
89,90,23
90,91,23
91,92,23
92,93,23
93,94,23
94,95,23
95,96,23
96,97,23
97,98,23
98,99,23
99,100,23
