,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,53,53,14.08
1,2,51,51,12.85
2,3,30,30,11.41
3,4,76,76,13.34
4,5,55,55,12.48
5,6,51,51,12.72
6,7,65,65,14.31
7,8,51,51,13.13
8,9,50,50,12.17
9,10,52,52,13.25
10,11,51,51,13.07
11,12,48,48,12.54
12,13,45,45,13.31
13,14,33,33,12.7
14,15,41,41,13.71
15,16,43,43,12.51
16,17,31,31,11.26
17,18,35,35,11.26
18,19,32,32,12.19
19,20,40,40,12.91
20,21,58,58,13.8
21,22,62,62,13.45
22,23,51,51,12.24
23,24,47,47,13.33
24,25,37,37,11.36
25,26,54,54,13.8
26,27,43,43,12.95
27,28,49,49,13.38
28,29,54,54,12.78
29,30,50,50,13.61
30,31,56,56,14.09
31,32,48,48,13.85
32,33,37,37,12.6
33,34,56,56,14.8
34,35,73,73,15.59
35,36,57,57,14.62
36,37,58,58,12.58
37,38,34,34,13.27
38,39,61,61,12.7
39,40,34,34,11.48
40,41,52,52,13.11
41,42,44,44,12.64
42,43,41,41,12.68
43,44,66,66,13.23
44,45,39,39,12.51
45,46,51,51,12.26
46,47,46,46,12.76
47,48,52,52,12.09
48,49,37,37,13.82
49,50,49,49,12.81
50,51,36,36,13.27
51,52,45,45,12.5
52,53,41,41,12.53
53,54,54,54,12.08
54,55,47,47,11.54
55,56,36,36,12.11
56,57,33,33,11.48
57,58,31,31,12.31
58,59,33,33,11.91
59,60,50,50,11.64
60,61,67,67,12.6
61,62,53,53,13.22
62,63,35,35,14.39
63,64,52,52,10.83
64,65,33,33,11.56
65,66,33,33,11.49
66,67,50,50,12.61
67,68,32,32,11.4
68,69,47,47,12.11
69,70,32,32,11.81
70,71,49,49,11.88
71,72,52,52,12.1
72,73,50,50,12.34
73,74,49,49,11.9
74,75,50,50,14.02
75,76,51,51,12.94
76,77,52,52,12.63
77,78,49,49,11.51
78,79,34,34,11.64
79,80,41,41,11.72
80,81,45,45,12
81,82,54,54,13.66
82,83,47,47,12.51
83,84,52,52,12.82
84,85,45,45,13.56
85,86,63,63,13.87
86,87,51,51,13.56
87,88,43,43,12.95
88,89,53,53,13.21
89,90,75,75,14.61
90,91,47,47,14.59
91,92,51,51,13.47
92,93,41,41,13.17
93,94,48,48,12.23
94,95,32,32,12.28
95,96,31,31,11.93
96,97,50,50,12.51
97,98,46,46,12.49
98,99,34,34,12.06
99,100,35,35,11.1
